,ERR9954784,SRR10754133,SRR2973693,SRR4436359,GSM697598,GSM896836
ACP1,6.08844204,5.600806634,3.462111858,4.556645118,8.90963543,5.550838868
ACP2,2.709793077,3.730625244,4.0270231,4.274299666,5.092933723,2.347485379
ACP3,0,0.08626913,0.322584189,0.353569927,2.998161729,-0.063878688
ACP4,1.764717528,0.837411757,0.180546294,0.302525843,7.578281011,0.06443778
ACP5,0,0,0.729351527,3.815784021,4.568251355,0.052043834
ACP6,0.123596106,0.841907381,0.620146442,1.766283535,8.117176715,2.481551598
ACRBP,0.817122452,1.209407958,0.172569316,0.152096267,6.816793658,-0.367323681
ACSBG1,0.178436355,0.046000359,0.121450686,0.127265063,2.492844035,0.082989329
ACSBG2,0.390898072,0,0.208774199,0.051486253,3.593965522,-0.019910557
ACSF2,0.454282597,2.362885795,1.464210178,3.928465721,8.211695218,0.728398065
ACSF3,0.198120157,0.708343625,0.904206243,1.965056979,6.807737068,0.521910367
ACSL1,0.579884532,2.315284422,2.638198888,3.306637758,9.096133061,2.336408797
ACSL3,2.016749007,5.582658845,4.215161021,4.436684842,9.699229978,1.418497917
ACSL4,0.895835357,2.909375152,4.484629015,4.872412229,6.269735981,0.027757745
ACSL5,0.602748622,0.920942251,2.708276334,1.675698385,4.48534876,-0.110263283
ACSM1,0,1.249914769,0.169338787,1.456087129,7.609402445,-0.537121094
ACSM3,0.652018782,1.956947555,0.192742349,0.201738677,4.980498197,1.204664367
ACSS1,0.454484366,2.013446782,0.961193015,1.362149154,2.819375782,0.388697078
ACSS2,1.870785948,2.543248524,2.386038107,4.892198083,6.940783951,0.099149703
ACTA1,1.486541901,2.685426664,0,0.144302849,11.88140296,0.142241546
ACTA2,0,2.098310419,5.468703974,2.321293561,7.567249958,3.945597778
ACTB,8.712952695,9.50290426,9.046531378,11.78533949,14.81920125,7.868650949
ACTG1,8.828991792,9.489217306,8.357911757,11.13737349,13.23123651,7.581035951
ACTG2,0,1.86085714,1.210669122,0.091833366,10.04671181,-0.290825402
ACTL6A,3.288914063,4.035759817,2.977691532,4.648917525,12.67056821,5.026800428
ACTL6B,0,0.151995093,0,0,9.861487666,-0.322125866
ACTL8,0,0,0,0,7.917037597,0.156504572
ACTN1,2.758776018,4.200375043,4.998702017,7.076248702,11.28165195,5.353088658
ACTN2,0.083827327,0.082551575,2.737081368,0.347540561,2.347177804,1.206371724
ACTN3,0.389610961,0,0.141974005,0.076276181,4.970581908,-0.518873241
ACTN4,4.876411064,6.300818707,5.420465105,7.285938349,9.34103798,6.164488434
ACTR10,4.12655149,4.745067348,3.867743159,4.728087973,11.68746763,4.374582007
ACTR1A,3.69858883,3.727852336,4.546465501,6.581674838,9.900551241,4.52253006
ACTR1B,4.069715709,4.134442646,4.059788263,5.030918262,7.474171051,2.876624677
ACTR2,6.172812803,7.2232522,6.12789306,6.258464613,9.558312521,6.593186049
ACTR3,3.568722574,4.209593093,4.915218979,5.668005585,10.76766129,4.839148398
ACTR5,1.981210216,1.802190967,0.706797153,2.827229505,6.708307537,3.037282056
ACTR6,2.459797505,3.218464676,2.655800693,3.19046218,10.19602309,4.490974003
ACTR8,1.223781517,2.583937557,3.194140484,3.786719673,8.571637819,1.492696461
ACTRT3,1.548891446,0.559679169,2.037343995,2.090918864,5.851864729,0.754418839
ACVR1,0,1.942295614,3.073228154,2.277752225,5.868395949,4.090019491
ACVR1B,1.095978964,2.325531145,2.755921694,3.412862089,5.785412875,0.052132241
ACVR1C,0,0.523412903,0.329845159,0.08711618,8.169939593,-0.262147862
ACVR2A,0.998705317,2.573815502,2.114205637,1.417021519,5.330927044,0.790099886
ACVR2B,0.184738717,0.812625583,0.374269511,0.871313176,10.06674478,-0.293361438
ACY1,0.29506304,0.22347054,0.250037941,0.229231011,9.797851889,2.893966832
ACY3,0,2.539465914,0,0.296741499,2.782101099,0.276287735
ACYP2,1.558234906,1.405218543,1.486474662,1.687125864,8.181816133,1.011453913
ADA,2.386420077,1.380866331,0.598578909,3.528151344,10.23231967,3.892795604
ADAD2,0,0,0,0.085326012,8.780914806,-0.37550901
ADAM10,1.591693054,3.907814751,4.008328882,3.72494232,7.544652202,1.836375698
ADAM11,0.73868204,1.699900047,0.199984007,0.073190771,4.273432357,0.160756037
ADAM12,0.62552682,0.952319805,4.122716956,0.397068625,2.534086847,-0.100465934
ADAM15,3.876390898,4.898609461,3.929655413,6.516054147,7.06747041,1.389505642
ADAM17,1.099197681,2.844902433,2.632261977,3.024135177,9.258541034,0.803663847
ADAM19,0.762324918,1.942638,0.354643689,5.281129127,10.37281268,0.103353785
ADAM22,0,0.254764758,1.114338342,0.120413084,2.409766349,-0.204292043
ADAM23,1.116858809,2.558115435,3.085829536,0.027850518,3.333814973,2.003752075
ADAM28,0,0.22508063,0.156301586,2.813017054,2.81638367,-0.185332617
ADAM32,0,0.773333378,0.714449708,0.682011038,6.979780599,0.004820148
ADAM33,0,0.425558931,5.95000313,0,7.862954074,0.09159646
ADAM8,0.92667756,2.017326824,0.573666333,4.995257144,10.34337161,0.238572396
ADAM9,4.288466507,6.103723298,4.179395198,4.886135338,9.272115827,3.375649336
ADAMTS1,0,0.239688403,5.582342363,5.808346508,6.672498101,-0.165778421
ADAMTS13,0.460346267,0.548419965,0.645401387,0.349655463,8.740614523,-0.056781746
ADAMTS7,0.186804182,0.965340648,1.631334962,0.897953636,13.07721993,0.166405409
ADAMTS9,0,0.758811805,1.428625388,0.008434003,9.428113999,0.392317423
ADAMTSL1,0,0.055564968,4.224683729,0.509734512,4.405255868,-0.243355361
ADAMTSL2,0,0,0.106354465,0,2.560477619,0.005526034
ADAMTSL4,0.585293846,1.685399739,3.46845612,1.573514809,4.785103788,0.266213236
ADAMTSL5,0.917442803,0.66287263,1.643643497,1.051142452,5.366475422,0.595470242
ADAP1,0.885583978,0.555090661,0.741042602,1.27637607,5.546996353,2.547029842
ADAP2,1.281145263,0.708023742,0.067237046,0.360498168,6.967727378,2.534661272
ADAR,2.540901481,6.299776113,5.844343453,7.083234723,10.76760926,0.646278736
ADARB1,0.273025538,0.52184336,1.2569085,2.170705574,3.125670296,0.419229718
ADARB2,0,0,0,0.03379764,4.359705635,-0.189033796
ADAT1,2.428553828,2.31316012,2.245814321,3.086117198,8.627047903,2.927726012
ADAT2,0.200446088,0.993027767,0.959487942,1.309817296,4.871572755,0.199844563
ADAT3,0.569576508,0.674130528,0.489202479,0.697472058,7.713424223,1.306021751
ADCK1,0.685279632,0.721038008,1.191826961,1.396484084,2.479086147,1.815242833
ADCK2,1.910524102,1.860512078,2.572220092,3.680204211,7.339987543,3.660089706
ADCK5,1.120136074,1.847763736,1.465533729,2.232520527,7.90631826,1.002370923
ADCY3,1.871285445,3.550058502,2.815805934,2.906598269,9.157736539,5.542760429
ADCY4,0,0.888169853,2.465768703,1.034149363,2.591407059,-0.057279675
ADCY7,0.905864847,1.802325649,1.865333109,2.446624734,5.812707424,1.211845662
ADCY9,0.489862683,1.506225786,2.590592423,2.125347003,0.928054011,2.030909158
ADCYAP1R1,0,0,0.036368037,0,0.9769517,-0.359184252
ADD1,1.597204114,3.460626279,4.511546016,5.013023536,6.103562761,0.875178564
ADD3,1.569796766,2.914581155,5.919045541,4.209106759,8.721365143,0.528750794
ADGRA2,0.540318594,1.156879031,3.946784101,0.288044994,4.414494836,0.179734603
ADGRA3,1.257015474,2.662307194,2.571789073,3.292296363,9.82885996,0.234544362
ADGRB1,0,0.281339177,0.133937473,0,9.793328595,-0.142885643
ADGRE1,2.41703655,3.265546839,0.067998878,0.04793444,2.641802712,1.886926584
ADGRE5,4.048492349,2.65474831,3.63634506,2.352494348,7.791991981,0.872960834
ADGRF1,0,0,0.020694501,1.360422703,6.26778835,-0.373532608
